Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
ERS715471	KL57	Capsule null	Untypeable	?2-+!	90.15%	93.41%	n/a	9 / 18 (50.00%)	KL57_01_galF,99.66%,100.00%;KL57_01_galF,35.29%,12.42%,truncated,below_id_threshold;KL57_02_cpsACP,99.52%,100.00%;KL57_02_cpsACP,99.52%,100.00%;KL57_03_wzi,96.87%,99.58%;KL57_03_wzi,96.87%,99.58%;KL57_04_wza,95.39%,97.88%;KL57_04_wza,95.39%,97.88%;KL57_07_wcaJ,73.76%,84.66%,truncated,below_id_threshold;KL57_07_wcaJ,94.32%,18.49%,truncated;KL57_15_gnd,98.72%,100.00%;KL57_15_gnd,98.95%,62.39%,truncated;KL57_16_manC,99.58%,100.00%;KL57_16_manC,45.45%,24.42%,truncated,below_id_threshold;KL57_17_manB,99.56%,100.00%;KL57_17_manB,99.56%,100.00%;KL57_18_ugd,99.23%,100.00%;KL57_18_ugd,95.08%,18.56%,truncated	KL57_11_wzy;KL57_14_wbaZ;KL57_10_wckW;KL57_08_wzx;KL57_13_vanT;KL57_09_wckX;KL57_05_wzb;KL57_12;KL57_06_wzc	9	KL44_06_wzc,100.00%,0.96%,truncated;KL44_06_wzc,100.00%,0.96%,truncated;KL50_05_wbaZ,99.74%,100.00%;KL50_05_wbaZ,99.74%,100.00%;KL50_06_wbaP,100.00%,79.41%,truncated;KL50_07_wcuU,100.00%,100.00%;KL50_07_wcuU,100.00%,100.00%;KL50_08_wcuH,100.00%,100.00%;KL50_08_wcuH,100.00%,100.00%	2 / 18 (11.11%)	KL57_16_manC,99.79%,100.00%;KL57_17_manB,99.11%,98.25%	2	KL50_10,100.00%,100.00%;KL150_19_gmd,99.70%,100.00%	KL57_01_galF,35.29%,12.42%,truncated,below_id_threshold;KL57_07_wcaJ,73.76%,84.66%,truncated,below_id_threshold;KL57_07_wcaJ,94.32%,18.49%,truncated;KL57_15_gnd,98.95%,62.39%,truncated;KL57_16_manC,45.45%,24.42%,truncated,below_id_threshold;KL57_18_ugd,95.08%,18.56%,truncated;KL44_06_wzc,100.00%,0.96%,truncated;KL44_06_wzc,100.00%,0.96%,truncated;KL50_06_wbaP,100.00%,79.41%,truncated	
ERS715472	KL59	K59	Typeable		99.99%	100.00%	0 bp	18 / 18 (100.00%)	KL59_01_galF,100.00%,100.00%;KL59_02_cpsACP,100.00%,100.00%;KL59_03_wzi,100.00%,100.00%;KL59_04_wza,100.00%,100.00%;KL59_05_wzb,100.00%,100.00%;KL59_06_wzc,100.00%,100.00%;KL59_07_wzy,100.00%,100.00%;KL59_08_wcuI,100.00%,100.00%;KL59_09_manC,100.00%,100.00%;KL59_10_manB,100.00%,100.00%;KL59_11_wbaZ,100.00%,100.00%;KL59_12_wcaJ,100.00%,100.00%;KL59_13_wcqV,100.00%,100.00%;KL59_14_wckV,100.00%,100.00%;KL59_15_wzx,100.00%,100.00%;KL59_16_wckJ,100.00%,100.00%;KL59_17_gnd,100.00%,100.00%;KL59_18_ugd,99.73%,100.00%		0		0 / 18 (0.00%)		1	KL150_19_gmd,87.77%,97.90%		
ERS715473	KL68	K68	Typeable	+	99.98%	100.00%	661 bp	18 / 18 (100.00%)	KL68_01_galF,99.68%,100.00%;KL68_02_cpsACP,100.00%,100.00%;KL68_03_wzi,100.00%,100.00%;KL68_04_wza,100.00%,100.00%;KL68_05_wzb,100.00%,100.00%;KL68_06_wzc,100.00%,100.00%;KL68_07_wbap,100.00%,100.00%;KL68_08_wzx,100.00%,100.00%;KL68_09_wclV,100.00%,100.00%;KL68_10_wckX,100.00%,100.00%;KL68_11_wckW,100.00%,100.00%;KL68_12_wzy,100.00%,100.00%;KL68_13_manC,100.00%,100.00%;KL68_14_manB,100.00%,100.00%;KL68_15_wbaZ,100.00%,100.00%;KL68_16_wcuC,100.00%,100.00%;KL68_17_gnd,100.00%,100.00%;KL68_18,100.00%,100.00%		1	KL160_21_ugd,99.74%,100.00%	0 / 18 (0.00%)		1	KL150_19_gmd,87.35%,99.40%		
ERS718583	KL54	K54	Typeable		97.02%	100.00%	1 bp	20 / 20 (100.00%)	KL54_01_galF,98.32%,100.00%;KL54_02_cpsACP,91.87%,100.00%;KL54_03_wzi,97.49%,100.00%;KL54_04_wza,96.55%,100.00%;KL54_05_wzb,96.53%,100.00%;KL54_06_wzc,96.93%,100.00%;KL54_07_wclU,95.08%,100.00%;KL54_08_wzx,96.31%,100.00%;KL54_09_wzy,96.67%,100.00%;KL54_10_wckB,97.77%,100.00%;KL54_11_wcoS,95.75%,100.00%;KL54_12_gmd,99.73%,100.00%;KL54_13_wcaG,95.65%,100.00%;KL54_14_wcaH,94.74%,100.00%;KL54_15_wcaI,92.82%,100.00%;KL54_16_wcaJ,99.36%,100.00%;KL54_17_gnd,99.79%,100.00%;KL54_18_manC,99.58%,100.00%;KL54_19_manB,99.78%,100.00%;KL54_20_ugd,99.74%,100.00%		0		2 / 20 (10.00%)	KL54_18_manC,99.58%,100.00%;KL54_19_manB,99.55%,98.25%	1	KL150_19_gmd,98.50%,100.00%		
ERS718584	KL62	Capsule null	Typeable	!	99.71%	100.03%	1837 bp	14 / 19 (73.68%)	KL62_01_galF,100.00%,100.00%;KL62_02_cpsACP,100.00%,100.00%;KL62_03_wzi,99.60%,100.00%;KL62_04_wza,100.00%,100.00%;KL62_05_wzb,100.00%,100.00%;KL62_06_wzc,98.45%,17.89%,truncated;KL62_07_wbaP,99.58%,100.00%;KL62_08,99.74%,100.00%;KL62_09,99.42%,100.00%;KL62_10,100.00%,100.00%;KL62_11_wzy,99.48%,100.00%;KL62_12,100.00%,8.57%,truncated;KL62_12,100.00%,9.84%,truncated;KL62_13,99.16%,100.00%;KL62_14,99.74%,100.00%;KL62_15_wzx,100.00%,100.00%;KL62_16_gnd,100.00%,100.00%;KL62_17_manC,100.00%,100.00%;KL62_18_manB,99.34%,100.00%;KL62_19_ugd,99.74%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,100.00%,100.00%	KL62_06_wzc,98.45%,17.89%,truncated;KL62_12,100.00%,8.57%,truncated;KL62_12,100.00%,9.84%,truncated	
ERS736962	KL32	K32	Typeable	+	100.00%	100.00%	893 bp	18 / 19 (94.74%)	KL32_01_galF,100.00%,100.00%;KL32_02_cpsACP,100.00%,100.00%;KL32_03_wzi,100.00%,100.00%;KL32_04_wza,100.00%,100.00%;KL32_05_wzb,100.00%,100.00%;KL32_06_wzc,100.00%,100.00%;KL32_07_wbaP,100.00%,100.00%;KL32_08_wctK,100.00%,100.00%;KL32_09_wzx,100.00%,100.00%;KL32_10_wctJ,100.00%,100.00%;KL32_11_wzy,100.00%,100.00%;KL32_12,100.00%,100.00%;KL32_13_wctL,100.00%,100.00%;KL32_14,100.00%,100.00%;KL32_15_gnd,100.00%,100.00%;KL32_16_rmlB,100.00%,100.00%;KL32_17_rmlA,100.00%,100.00%;KL32_18_rmlD,100.00%,100.00%;KL32_19_rmlC,100.00%,100.00%		1	KL172_22_ugd,99.23%,100.00%	0 / 19 (0.00%)		1	KL150_19_gmd,89.36%,98.50%		
ERS739094	KL6	K6	Typeable		99.33%	100.00%	-3 bp	22 / 22 (100.00%)	KL6_01_galF,98.66%,100.00%;KL6_02_cpsACP,93.16%,100.00%;KL6_03_wzi,99.79%,100.00%;KL6_04_wza,99.74%,100.00%;KL6_05_wzb,99.31%,100.00%;KL6_06_wzc,98.62%,100.00%;KL6_07_wzy,99.77%,100.00%;KL6_08_wctC,99.69%,100.00%;KL6_09_wclU,100.00%,100.00%;KL6_10_wckB,100.00%,100.00%;KL6_11_gmd,100.00%,100.00%;KL6_12_wcaG,100.00%,100.00%;KL6_13_gmm,100.00%,100.00%;KL6_14_wcaI,99.75%,100.00%;KL6_15_wzx,99.53%,100.00%;KL6_16_wclT,99.62%,100.00%;KL6_17,100.00%,100.00%;KL6_18_manC,99.79%,100.00%;KL6_19_manB,99.78%,100.00%;KL6_20_wcaJ,98.92%,100.00%;KL6_21_gnd,99.15%,100.00%;KL6_22_ugd,100.00%,100.00%		0		0 / 22 (0.00%)		2	KL40_05_rfaG,96.57%,99.74%;KL150_19_gmd,99.40%,100.00%		
ERS739095	KL1	K1	Typeable		99.54%	100.00%	-1 bp	20 / 20 (100.00%)	KL1_01_galF,99.33%,100.00%;KL1_02_cpsACP,96.65%,100.00%;KL1_03_wzi,99.58%,100.00%;KL1_04_wza,100.00%,100.00%;KL1_05_wzb,100.00%,100.00%;KL1_06_wzc,98.31%,100.00%;KL1_07_wzx,99.77%,100.00%;KL1_08_wclY,99.72%,100.00%;KL1_09_wzy,100.00%,100.00%;KL1_10_wcsS,99.73%,100.00%;KL1_11_wcsT,99.41%,100.00%;KL1_12_gmd,100.00%,100.00%;KL1_13_wcaG,99.42%,100.00%;KL1_14_wcaH,100.00%,100.00%;KL1_15_wcaI,99.75%,100.00%;KL1_16_wcaJ,99.36%,100.00%;KL1_17_gnd,100.00%,100.00%;KL1_18_manC,100.00%,100.00%;KL1_19_manB,99.78%,100.00%;KL1_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,99.40%,100.00%		
ERS743101	KL14	K14	Typeable		99.91%	100.00%	1 bp	17 / 25 (68.00%)	KL14_01_galF,100.00%,100.00%;KL14_02_cpsACP,100.00%,100.00%;KL14_03_wzi,100.00%,100.00%;KL14_04_wza,99.74%,100.00%;KL14_05_wzb,100.00%,100.00%;KL14_06_wzc,100.00%,100.00%;KL14_07,100.00%,100.00%;KL14_08_wzx,100.00%,100.00%;KL14_09,99.66%,100.00%;KL14_10,99.69%,100.00%;KL14_11,100.00%,100.00%;KL14_12,100.00%,100.00%;KL14_13,99.71%,100.00%;KL14_14,100.00%,100.00%;KL14_15,100.00%,100.00%;KL14_16,99.71%,100.00%;KL14_17_wcaJ,100.00%,100.00%;KL14_18_gnd,100.00%,100.00%;KL14_19_manC,100.00%,100.00%;KL14_20_manB,99.57%,100.00%;KL14_21_rmlB,100.00%,100.00%;KL14_22_rmlA,100.00%,100.00%;KL14_23_rmlD,100.00%,100.00%;KL14_24_rmlC,100.00%,100.00%;KL14_25_ugd,99.74%,100.00%		0		2 / 25 (8.00%)	KL14_19_manC,100.00%,100.00%;KL14_20_manB,99.77%,95.73%	1	KL150_19_gmd,99.40%,100.00%		
ERS744787	KL44	K44	Typeable	+	99.69%	99.98%	889 bp	20 / 20 (100.00%)	KL44_01_galF,100.00%,100.00%;KL44_02_cpsACP,100.00%,100.00%;KL44_03_wzi,99.79%,100.00%;KL44_04_wza,100.00%,100.00%;KL44_05_wzb,100.00%,100.00%;KL44_06_wzc,100.00%,100.00%;KL44_07_wcaA,100.00%,100.00%;KL44_08_wcaJ,98.95%,100.00%;KL44_09_wclJ,99.64%,100.00%;KL44_10_wcuM,100.00%,100.00%;KL44_11_wzy,98.80%,100.00%;KL44_12_wcuH,97.09%,99.64%;KL44_13_wzx,100.00%,100.00%;KL44_14,100.00%,100.00%;KL44_15_gnd,99.79%,100.00%;KL44_16_wcqA,100.00%,100.00%;KL44_17_rmlB,100.00%,100.00%;KL44_18_rmlA,100.00%,100.00%;KL44_19_rmlD,99.66%,100.00%;KL44_20_rmlC,100.00%,100.00%		1	KL172_22_ugd,99.74%,100.00%	0 / 20 (0.00%)		1	KL150_19_gmd,89.36%,98.50%		
ERS747603	KL9	K9	Typeable		99.97%	100.00%	1200 bp	15 / 19 (78.95%)	KL9_01_galF,100.00%,100.00%;KL9_02_cpsACP,100.00%,100.00%;KL9_03_wzi,100.00%,100.00%;KL9_04_wza,100.00%,100.00%;KL9_05_wzb,100.00%,100.00%;KL9_06_wzc,99.86%,100.00%;KL9_07_wbaP,100.00%,100.00%;KL9_08,100.00%,100.00%;KL9_09,100.00%,100.00%;KL9_10,99.74%,100.00%;KL9_11,100.00%,100.00%;KL9_12,100.00%,100.00%;KL9_13_wzx,99.76%,100.00%;KL9_14_gnd,100.00%,100.00%;KL9_15_rmlB,100.00%,100.00%;KL9_16_rmlA,100.00%,100.00%;KL9_17_rmlD,100.00%,100.00%;KL9_18_rmlC,100.00%,100.00%;KL9_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%		
ERS747611	KL43	K43	Typeable		99.96%	99.84%	776 bp	19 / 19 (100.00%)	KL43_01_galF,100.00%,100.00%;KL43_02_cpsACP,100.00%,100.00%;KL43_03_wzi,99.79%,100.00%;KL43_04_wza,100.00%,100.00%;KL43_05_wzb,100.00%,100.00%;KL43_06_wzc,100.00%,100.00%;KL43_07_wcaJ,100.00%,100.00%;KL43_08_wcuO,100.00%,100.00%;KL43_09_wzy,100.00%,100.00%;KL43_10_wcpY,100.00%,100.00%;KL43_11_wcuE,100.00%,100.00%;KL43_12_wbaZ,100.00%,97.14%;KL43_13_wcuV,100.00%,100.00%;KL43_14_wzx,100.00%,100.00%;KL43_15_wcpZ,100.00%,100.00%;KL43_16_gnd,100.00%,100.00%;KL43_17_manC,100.00%,100.00%;KL43_18_manB,100.00%,100.00%;KL43_19_ugd,99.48%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,98.20%,100.00%		
ERS747612	KL24	K24	Typeable		99.86%	100.00%	0 bp	19 / 19 (100.00%)	KL24_01_galF,100.00%,100.00%;KL24_02_cpsACP,99.52%,100.00%;KL24_03_wzi,100.00%,100.00%;KL24_04_wza,100.00%,100.00%;KL24_05_wzb,100.00%,100.00%;KL24_06_wzc,99.86%,100.00%;KL24_07_wcuD,99.74%,100.00%;KL24_08_wcuC,99.40%,100.00%;KL24_09_wcuV,100.00%,100.00%;KL24_10_wbaZ,100.00%,100.00%;KL24_11_wcaJ,100.00%,100.00%;KL24_12_wcuE,99.70%,100.00%;KL24_13_wcuG,99.70%,100.00%;KL24_14_wzy,100.00%,100.00%;KL24_15_wzx,99.79%,100.00%;KL24_16_gnd,99.57%,100.00%;KL24_17_manC,100.00%,100.00%;KL24_18_manB,100.00%,100.00%;KL24_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.10%,100.00%		
ERS764450	KL17	K17	Typeable		99.53%	100.00%	-2 bp	20 / 20 (100.00%)	KL17_01_galF,100.00%,100.00%;KL17_02_cpsACP,98.56%,100.00%;KL17_03_wzi,98.11%,100.00%;KL17_04_wza,99.47%,100.00%;KL17_05_wzb,100.00%,100.00%;KL17_06_wzc,99.86%,100.00%;KL17_07_wzy,98.87%,100.00%;KL17_08_wctR,99.72%,100.00%;KL17_09_wctS,99.64%,100.00%;KL17_10_wctT,99.73%,100.00%;KL17_11_wctU,99.73%,100.00%;KL17_12_wcaJ,99.57%,100.00%;KL17_13_wcmZ,99.67%,100.00%;KL17_14_wzx,100.00%,100.00%;KL17_15_gnd,99.36%,100.00%;KL17_16_rmlB,99.44%,100.00%;KL17_17_rmlA,100.00%,100.00%;KL17_18_rmlD,100.00%,100.00%;KL17_19_rmlC,99.46%,100.00%;KL17_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		1	KL150_19_gmd,88.92%,100.00%		
ERS764451	KL18	K18	Typeable		99.99%	100.00%	0 bp	21 / 21 (100.00%)	KL18_01_galF,100.00%,100.00%;KL18_02_cpsACP,100.00%,100.00%;KL18_03_wzi,100.00%,100.00%;KL18_04_wza,100.00%,100.00%;KL18_05_wzb,100.00%,100.00%;KL18_06_wzc,99.86%,100.00%;KL18_07_wcaJ,100.00%,100.00%;KL18_08_wcaA,100.00%,100.00%;KL18_09_wcuM,100.00%,100.00%;KL18_10_wbbL,100.00%,100.00%;KL18_11_wckF,100.00%,100.00%;KL18_12_wzy,100.00%,100.00%;KL18_13,100.00%,100.00%;KL18_14_wcuH,100.00%,100.00%;KL18_15_wzx,100.00%,100.00%;KL18_16_gnd,100.00%,100.00%;KL18_17_rmlB,100.00%,100.00%;KL18_18_rmlA,100.00%,100.00%;KL18_19_rmlD,100.00%,100.00%;KL18_20_rmlC,100.00%,100.00%;KL18_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		2	KL40_05_rfaG,98.68%,99.74%;KL150_19_gmd,99.10%,100.00%		
ERS764452	KL36	K36	Typeable		99.63%	100.00%	0 bp	21 / 21 (100.00%)	KL36_01_galF,100.00%,100.00%;KL36_02_cpsACP,94.26%,100.00%;KL36_03_wzi,99.16%,100.00%;KL36_04_wza,100.00%,100.00%;KL36_05_wzb,100.00%,100.00%;KL36_06_wzc,100.00%,100.00%;KL36_07_wcaJ,100.00%,100.00%;KL36_08_wcaA,100.00%,100.00%;KL36_09_rmlB,100.00%,100.00%;KL36_10_rmlA,100.00%,100.00%;KL36_11_rmlC,100.00%,100.00%;KL36_12_wzy,100.00%,100.00%;KL36_13_wckE,100.00%,100.00%;KL36_14_wcuM,99.73%,100.00%;KL36_15,99.58%,100.00%;KL36_16_wckT,100.00%,100.00%;KL36_17_wzx,100.00%,100.00%;KL36_18_wcuJ,99.71%,100.00%;KL36_19_rmlD,100.00%,100.00%;KL36_20_gnd,100.00%,100.00%;KL36_21_ugd,99.74%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,88.92%,100.00%		
ERS799795	KL15	Capsule null	Typeable	!	99.01%	100.05%	1061 bp	16 / 16 (100.00%)	KL15_01_galF,98.40%,94.30%,truncated;KL15_02_cpsACP,100.00%,71.77%,truncated;KL15_03_wzi,86.96%,24.32%,truncated;KL15_04_wza,100.00%,93.10%,truncated;KL15_05_wzb,100.00%,100.00%;KL15_06_wzc,100.00%,100.00%;KL15_07_wcaJ,99.79%,100.00%;KL15_08_wceN,99.71%,100.00%;KL15_09_wceM,100.00%,100.00%;KL15_10_wcsR,100.00%,42.68%,truncated;KL15_11_wcaN,100.00%,100.00%;KL15_12_wzy,99.51%,100.00%;KL15_13_wckI,99.73%,100.00%;KL15_14_wzx,100.00%,100.68%;KL15_15_gnd,100.00%,100.00%;KL15_16_ugd,100.00%,44.07%,truncated		0		0 / 16 (0.00%)		1	KL150_19_gmd,89.91%,97.90%	KL15_01_galF,98.40%,94.30%,truncated;KL15_02_cpsACP,100.00%,71.77%,truncated;KL15_03_wzi,86.96%,24.32%,truncated;KL15_04_wza,100.00%,93.10%,truncated;KL15_10_wcsR,100.00%,42.68%,truncated;KL15_16_ugd,100.00%,44.07%,truncated	
ERS799796	KL16	K16	Typeable		99.70%	100.00%	0 bp	21 / 22 (95.45%)	KL16_01_galF,99.66%,100.00%;KL16_02_cpsACP,97.61%,100.00%;KL16_03_wzi,100.00%,100.00%;KL16_04_wza,100.00%,100.00%;KL16_05_wzb,100.00%,100.00%;KL16_06_wzc,99.86%,100.00%;KL16_07_wzx,100.00%,100.00%;KL16_08_wzy,100.00%,100.00%;KL16_09_gtf1,99.73%,100.00%;KL16_10_vatD,99.45%,100.00%;KL16_11_lacA,100.00%,100.00%;KL16_12_sunS,100.00%,100.00%;KL16_13_gmd,100.00%,100.00%;KL16_14_fcl,99.69%,100.00%;KL16_15_gmm,100.00%,100.00%;KL16_16,100.00%,100.00%;KL16_17_wcaJ,100.00%,100.00%;KL16_18_gnd,100.00%,100.00%;KL16_19,99.21%,100.00%;KL16_20_manC,98.94%,100.00%;KL16_21_manB,99.56%,100.00%;KL16_22_ugd,99.74%,100.00%		0		0 / 22 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.40%,100.00%		
ERS799797	KL26	K26	Typeable	+	100.00%	100.00%	838 bp	20 / 20 (100.00%)	KL26_01_galF,100.00%,100.00%;KL26_02_cpsACP,100.00%,100.00%;KL26_03_wzi,100.00%,100.00%;KL26_04_wza,100.00%,100.00%;KL26_05_wzb,100.00%,100.00%;KL26_06_wzc,100.00%,100.00%;KL26_07_wzx,100.00%,100.00%;KL26_08_wcuE,100.00%,100.00%;KL26_09_wcuC,100.00%,100.00%;KL26_10_wcuD,100.00%,100.00%;KL26_11_wbaZ,100.00%,100.00%;KL26_12_wbaP,100.00%,100.00%;KL26_13_wcuU,100.00%,100.00%;KL26_14_wcuH,100.00%,100.00%;KL26_15_wctD,100.00%,100.00%;KL26_16_wzy,100.00%,100.00%;KL26_17_wcuL,100.00%,100.00%;KL26_18_gnd,100.00%,100.00%;KL26_19_manC,100.00%,100.00%;KL26_20_manB,100.00%,100.00%		1	KL186_21_ugd,99.48%,100.00%	0 / 20 (0.00%)		2	KL150_19_gmd,84.73%,100.00%;KL40_24_rmlB,83.78%,50.14%		
ERS799798	KL22	K37	Typeable	!	99.79%	99.99%	-2 bp	14 / 18 (77.78%)	KL22_01_galF,100.00%,100.00%;KL22_02_cpsACP,99.52%,100.00%;KL22_03_wzi,99.79%,100.00%;KL22_04_wza,100.00%,100.00%;KL22_05_wzb,100.00%,100.00%;KL22_06_wzc,100.00%,100.00%;KL22_07_wzy,100.00%,100.00%;KL22_08,100.00%,100.00%;KL22_09,99.33%,100.00%;KL22_10_wfeD,100.00%,100.00%;KL22_11_wzx,99.78%,100.00%;KL22_12_rutE,99.17%,100.00%;KL22_13,100.00%,100.00%;KL22_14,99.76%,100.00%;KL22_15_wcaJ,99.78%,100.00%;KL22_16_gnd,99.79%,100.00%;KL22_17,100.00%,55.36%,truncated;KL22_18_ugd,99.23%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,98.80%,100.00%	KL22_17,100.00%,55.36%,truncated	
ERS812516	KL5	K5	Typeable		98.79%	134.17%	12613 bp	13 / 19 (68.42%)	KL5_01_galF,99.33%,100.00%;KL5_02_cpsACP,90.43%,100.00%;KL5_02_cpsACP,90.43%,100.00%;KL5_03_wzi,99.60%,100.00%;KL5_03_wzi,99.60%,100.00%;KL5_04_wza,100.00%,100.00%;KL5_04_wza,100.00%,100.00%;KL5_05_wzb,99.31%,100.00%;KL5_05_wzb,99.31%,100.00%;KL5_06_wzc,97.92%,99.31%;KL5_06_wzc,97.65%,99.31%;KL5_07,99.75%,100.00%;KL5_07,99.75%,100.00%;KL5_08_wzx,99.38%,100.00%;KL5_09,100.00%,100.00%;KL5_10,99.65%,100.00%;KL5_11,100.00%,100.00%;KL5_12,99.09%,100.00%;KL5_13,100.00%,100.00%;KL5_14,100.00%,100.00%;KL5_15_wcaJ,99.36%,100.00%;KL5_16_gnd,100.00%,100.00%;KL5_17_manC,99.58%,100.00%;KL5_18_manB,99.56%,100.00%;KL5_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,97.88%,99.21%;KL150_19_gmd,99.40%,100.00%		
HAV1_13	KL46	K46	Typeable	-!	99.32%	83.08%	-4112 bp	17 / 20 (85.00%)	KL46_01_galF,100.00%,100.00%;KL46_02_cpsACP,93.30%,100.00%;KL46_03_wzi,97.70%,100.00%;KL46_04_wza,100.00%,100.00%;KL46_05_wzb,100.00%,100.00%;KL46_06_wzc,99.72%,100.00%;KL46_07_wcaJ,100.00%,100.00%;KL46_08_wcuD,99.74%,100.00%;KL46_09_wzy,100.00%,100.00%;KL46_10_wcuC,99.75%,100.00%;KL46_11_wcuI,100.00%,100.00%;KL46_12_wcuF,99.73%,100.00%;KL46_13_wcuV,99.70%,100.00%;KL46_14_wclT,99.63%,100.00%;KL46_15_wzx,99.80%,100.00%;KL46_16_wckQ,99.51%,74.37%,truncated;KL46_17_gnd,99.79%,100.00%	KL46_19_manB;KL46_20_ugd;KL46_18_manC	0		0 / 20 (0.00%)		2	KL50_10,99.43%,100.00%;KL113_19_manB,95.83%,5.26%,partial	KL46_16_wckQ,99.51%,74.37%,truncated	
HAV1_14	KL151	unknown (KL151)	Typeable		99.67%	100.00%	-3 bp	17 / 21 (80.95%)	KL151_01_galF,99.33%,100.00%;KL151_02_cpsACP,99.52%,100.00%;KL151_03_wzi,99.37%,100.00%;KL151_04_wza,100.00%,100.00%;KL151_05_wzb,100.00%,100.00%;KL151_06_wzc,99.86%,100.00%;KL151_07,100.00%,100.00%;KL151_08_wcaJ,100.00%,100.00%;KL151_09,100.00%,100.00%;KL151_10_pglI,99.29%,100.00%;KL151_11_wzy,98.98%,100.00%;KL151_12,99.20%,100.00%;KL151_13_wfgD,99.67%,100.00%;KL151_14,99.75%,100.00%;KL151_15,99.74%,100.00%;KL151_16_gnd,100.00%,100.00%;KL151_17_rmlB,99.72%,100.00%;KL151_18_rmlA,100.00%,100.00%;KL151_19_rmlD,100.00%,100.00%;KL151_20_rmlC,98.91%,100.00%;KL151_21_ugd,99.74%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,90.72%,100.00%		
HCV1_10	KL149	unknown (KL149)	Typeable		99.30%	99.94%	1 bp	15 / 20 (75.00%)	KL149_01_galF,99.66%,100.00%;KL149_02_cpsACP,97.13%,100.00%;KL149_03_wzi,97.70%,100.00%;KL149_04_wza,98.94%,100.00%;KL149_05_wzb,100.00%,100.00%;KL149_06_wzc,99.86%,100.00%;KL149_07_wcaJ,100.00%,100.00%;KL149_08,99.73%,100.00%;KL149_09,100.00%,100.00%;KL149_10_wzx,99.58%,100.00%;KL149_11,100.00%,100.00%;KL149_12,100.00%,100.00%;KL149_13,99.61%,100.00%;KL149_14,99.20%,100.00%;KL149_15_gnd,99.57%,100.00%;KL149_16_rmlB,100.00%,100.00%;KL149_17_rmlA,97.89%,98.62%;KL149_18_rmlD,99.32%,100.00%;KL149_19_rmlC,98.37%,100.00%;KL149_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,99.59%,100.00%;KL40_04,99.75%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,98.80%,100.00%		
HCV1_19	KL3	K3	Typeable	!	99.97%	100.00%	-1 bp	15 / 19 (78.95%)	KL3_01_galF,100.00%,100.00%;KL3_02_cpsACP,100.00%,90.87%,truncated;KL3_03_wzi,100.00%,100.00%;KL3_04_wza,100.00%,100.00%;KL3_05_wzb,100.00%,100.00%;KL3_06_wzc,99.86%,100.00%;KL3_07_wcaJ,100.00%,100.00%;KL3_08,100.00%,100.00%;KL3_09,100.00%,100.00%;KL3_10_pglJ,100.00%,100.00%;KL3_11,100.00%,100.00%;KL3_12,99.48%,100.00%;KL3_13_wzx,100.00%,100.00%;KL3_14,100.00%,100.00%;KL3_15_wbaZ,100.00%,100.00%;KL3_16_gnd,100.00%,100.00%;KL3_17_manC,100.00%,100.00%;KL3_18_manB,100.00%,100.00%;KL3_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.59%,100.00%;KL40_04,100.00%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,98.50%,100.00%	KL3_02_cpsACP,100.00%,90.87%,truncated	
